NIVEL=1
CAMINO=1
13;14
13;14
13;13
12;13
11;13
11;12
10;12
10;11
10;12
9;12
9;11
8;11
8;12
7;12
7;11
7;10
7;9
7;8
7;7
7;6
7;5
7;4
7;3
7;2
7;1
7;0
7;0
7;0
7;0
7;0
7;1
6;1
5;1
4;1
3;1
2;1
2;0
1;0
NIVEL=2
CAMINO=1
12;0
11;0
11;1
11;2
11;3
11;4
11;5
11;6
11;7
11;8
12;8
13;8
14;8
14;8
14;9
14;10
14;11
14;12
14;13
13;13
13;12
13;11
13;10
13;9
13;8
13;7
13;6
13;5
13;4
13;3
12;3
11;3
10;3
9;3
8;3
8;4
8;5
8;6
8;7
8;8
8;9
8;10
8;11
9;11
10;11
10;12
10;13
10;14
NIVEL=3
CAMINO=1
0;3
0;4
1;4
2;4
3;4
4;4
5;4
6;4
7;4
8;4
9;4
10;4
11;4
11;5
11;6
11;7
12;7
13;7
14;7
14;6
14;5
14;4
15;4
16;4
17;4
17;5
17;6
18;6
19;6
CAMINO=2
0;15
0;16
1;16
2;16
3;16
4;16
5;16
6;16
7;16
8;16
9;16
10;16
11;16
12;16
13;16
14;16
15;16
15;15
15;14
15;13
15;12
15;11
15;10
15;9
15;8
15;7
15;6
16;6
17;6
18;6
19;6
19;7
19;8
18;8
17;8
16;8
16;9
16;10
16;11
15;11
14;11
13;11
13;12
13;13
14;13
15;13
16;13
16;14
16;15
16;16
17;16
18;16
18;15
18;14
18;13
18;12
19;12
NIVEL=4
CAMINO=1
19;9
19;8
19;7
19;6
19;5
19;4
19;3
19;2
19;1
19;0
18;0
17;0
16;0
16;1
16;2
16;3
16;4
16;5
16;6
16;7
16;8
16;9
15;9
14;9
13;9
12;9
11;9
11;8
11;7
11;6
11;5
10;5
9;5
8;5
8;4
8;3
8;2
8;1
8;0
8;0
8;0
8;0
7;0
6;0
5;0
4;0
3;0
3;1
3;2
3;3
3;4
3;5
3;6
2;6
1;6
1;5
1;4
1;3
0;3
0;2
CAMINO=2
19;11
18;11
17;11
16;11
15;11
14;11
13;11
12;11
11;11
10;11
9;11
8;11
7;11
6;11
5;11
4;11
3;11
2;11
1;11
0;11
0;11
0;12
0;13
0;14
0;15
1;15
2;15
3;15
4;15
5;15
6;15
7;15
7;16
7;17
7;18
6;18
5;18
4;18
4;17
4;16
3;16
2;16
2;17
1;17
0;17
